iter	Passed	Remaining
0	133	132957
1	133	66712
2	134	44619
3	134	33553
4	135	26938
5	137	22703
6	137	19569
7	139	17339
8	142	15656
9	143	14216
10	144	13033
11	145	11980
12	146	11137
13	148	10426
14	149	9794
15	150	9261
16	151	8768
17	152	8340
18	153	7926
19	154	7579
20	155	7268
21	157	6990
22	158	6733
23	159	6495
24	160	6274
25	161	6064
26	162	5859
27	163	5678
28	164	5506
29	165	5347
30	166	5200
31	167	5057
32	167	4915
33	168	4792
34	169	4673
35	170	4560
36	171	4455
37	172	4355
38	172	4254
39	173	4162
40	174	4072
41	174	3988
42	175	3909
43	176	3833
44	176	3755
45	177	3682
46	178	3612
47	178	3544
48	179	3480
49	179	3419
50	180	3360
51	181	3300
52	181	3243
53	181	3187
54	182	3135
55	183	3085
56	183	3036
57	184	2990
58	184	2943
59	185	2898
60	185	2856
61	186	2814
62	186	2773
63	186	2734
64	187	2695
65	187	2659
66	188	2624
67	188	2586
68	189	2553
69	189	2519
70	190	2487
71	190	2456
72	191	2425
73	191	2396
74	192	2368
75	192	2339
76	192	2312
77	193	2285
78	193	2259
79	194	2234
80	194	2209
81	195	2184
82	195	2161
83	196	2138
84	196	2114
85	196	2092
86	197	2068
87	197	2048
88	198	2028
89	198	2008
90	199	1988
91	199	1969
92	199	1950
93	200	1932
94	201	1915
95	201	1898
96	202	1881
97	202	1864
98	203	1849
99	203	1833
100	204	1817
101	204	1800
102	204	1785
103	205	1770
104	205	1755
105	206	1741
106	207	1727
107	207	1713
108	208	1700
109	208	1686
110	209	1673
111	209	1660
112	209	1648
113	210	1635
114	210	1622
115	211	1610
116	211	1598
117	212	1586
118	212	1575
119	213	1564
120	213	1553
121	214	1542
122	214	1529
123	215	1518
124	215	1508
125	215	1497
126	216	1487
127	216	1476
128	217	1467
129	217	1457
130	218	1447
131	218	1438
132	219	1428
133	219	1419
134	220	1411
135	220	1402
136	221	1393
137	221	1386
138	222	1378
139	222	1369
140	223	1361
141	223	1353
142	224	1344
143	224	1336
144	225	1328
145	225	1321
146	226	1313
147	226	1306
148	227	1298
149	227	1291
150	228	1284
151	228	1276
152	229	1269
153	229	1262
154	230	1255
155	230	1248
156	231	1241
157	231	1234
158	232	1227
159	232	1220
160	232	1214
161	233	1207
162	233	1200
163	234	1194
164	234	1188
165	235	1181
166	235	1175
167	236	1169
168	236	1163
169	237	1157
170	237	1151
171	238	1145
172	238	1139
173	238	1134
174	239	1128
175	239	1122
176	240	1116
177	240	1111
178	241	1105
179	241	1100
180	241	1093
181	242	1088
182	242	1083
183	243	1077
184	243	1072
185	244	1067
186	244	1062
187	244	1057
188	245	1052
189	245	1048
190	246	1043
191	246	1038
192	247	1033
193	247	1028
194	248	1023
195	248	1019
196	248	1014
197	249	1009
198	249	1005
199	250	1000
